央视频道,#genre#
CCTV-1 综合,http://gslbmgsplive.miguvideo.com/migu/kailu/cctv1hd265/51/20191230/index.m3u8?msisdn=86f3c0a7354c68dbae6029a36f854cd1&mdspid=&spid=699004&netType=0&sid=2201057821&pid=2028597139&timestamp=20260816040001&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=47.108.72.45&SecurityKey=20260816040001&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=17da6dfb1fff532dd32b6f528aef71a0&ddCalcu=01a7v1da7ayf6aedaf8b215fff6fb52332dd&sv=10004&ct=android
CCTV-2 财经,http://gslbmgsplive.miguvideo.com/migu/kailu/cctv2hd265/54/20200407/index.m3u8?msisdn=3a242bd44d552b54c068b32a603b1c58&mdspid=&spid=699004&netType=0&sid=5500346945&pid=2028597139&timestamp=20260816040002&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=631780532&ParentNodeID=-99&assertID=5500346945&client_ip=47.108.72.45&SecurityKey=20260816040002&promotionId=&mvid=5101064231&mcid=500020&playurlVersion=WX-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=31191098d0f0a3ab8bda63fef0693fbf&ddCalcu=f3b1vf1a39z91a6009f8edf03f60aad3ba8b&sv=10004&ct=android
CCTV-3 综艺,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?msisdn=c5b024cf3e8bccbcb9ace9f6c4551a12&mdspid=&spid=699004&netType=0&sid=5500212864&pid=2028597139&timestamp=20260816040002&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=47.108.72.45&SecurityKey=20260816040002&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=WX-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=c10a433e63d3ce8d0afb44fbb15e1194&ddCalcu=4c91v10a1aae4a5313beb6f34d43bcfea80d&sv=10004&ct=android
CCTV-4 中文国际,http://gslbmgsplive.miguvideo.com/migu/kailu/cctv4hd265/51/20191230/index.m3u8?msisdn=bdf7356b1b459f245ff6c1785c7f372c&mdspid=&spid=699004&netType=0&sid=5500346947&pid=2028597139&timestamp=20260816040003&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=47.108.72.45&SecurityKey=20260816040003&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=WX-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=5be0f477ebb88c3e65f4e04506e18b10&ddCalcu=051bvbea80y1fae467075e4b0be848fc536e&sv=10004&ct=android
CCTV-5 体育,http://gslbmgsplive.miguvideo.com/migu/kailu/cctv5hd265/51/20191230/index.m3u8?msisdn=55a5ce7f9c98e80e5d5ed5a7bcc2383d&mdspid=&spid=699004&netType=0&sid=5500516171&pid=2028597139&timestamp=20260816040004&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=641886683&ParentNodeID=-99&assertID=5500516171&client_ip=47.108.72.45&SecurityKey=20260816040004&promotionId=&mvid=5102048712&mcid=500020&playurlVersion=WX-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=9559c5e145f4ca1e5929d8c46ff852aa&ddCalcu=a9a5v25a59w8caf5fe6144c58fd49c2a915e&sv=10004&ct=android
CCTV-5+ 体育赛事,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv5plusnew/1200/index.m3u8?msisdn=8230c9aa9d85d8689ac232dc3c97a114&mdspid=&spid=699004&netType=0&sid=5500516288&pid=2028597139&timestamp=20260816040004&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=641886773&ParentNodeID=-99&assertID=5500516288&client_ip=47.108.72.45&SecurityKey=20260816040004&promotionId=&mvid=5102048803&mcid=500020&playurlVersion=WX-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=ce012b3a370b408436a22a311967f65a&ddCalcu=ac5ev60af1x72a6b931a1337a02b24a06834&sv=10004&ct=android
CCTV-6 电影,http://gslbmgsplive.miguvideo.com/migu/kailu/cctv6hd265/54/20200407/index.m3u8?msisdn=aed9d600a8936418f02ef4c6ab2fa4c9&mdspid=&spid=699004&netType=0&sid=5500212872&pid=2028597139&timestamp=20260816040005&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=624878396&ParentNodeID=-99&assertID=5500212872&client_ip=47.108.72.45&SecurityKey=20260816040005&promotionId=&mvid=5100001694&mcid=500020&playurlVersion=WX-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=83122cddcd7a91b56061c1df530b3a91&ddCalcu=1893va1a32bb2a0c3d5dfcdd17ca19610b65&sv=10004&ct=android
CCTV-7 国防军事,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv7hd/51/index.m3u8?msisdn=cf130e9f0b036b0e1f78c4c30070bee8&mdspid=&spid=699004&netType=0&sid=5501083622&pid=2028597139&timestamp=20260816040006&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=673168121&ParentNodeID=-99&assertID=5501083622&client_ip=47.108.72.45&SecurityKey=20260816040006&promotionId=&mvid=5102910278&mcid=500020&playurlVersion=WX-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=a1c2392afda54c665a906352f765b777&ddCalcu=7a71v7cab2d53a6972fa2f5d3a65049ca656&sv=10004&ct=android
CCTV-8 电视剧,http://gslbmgsplive.miguvideo.com/migu/kailu/cctv8hd265/54/20200407/index.m3u8?msisdn=371005a8bae3e82b75c5bebb3f3aee6e&mdspid=&spid=699004&netType=0&sid=5500212868&pid=2028597139&timestamp=20260816040006&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=624878356&ParentNodeID=-99&assertID=5500212868&client_ip=47.108.72.45&SecurityKey=20260816040006&promotionId=&mvid=5100001695&mcid=500020&playurlVersion=WX-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=329483bd06cdade4debe663231234e67&ddCalcu=7362ve9a44b38a231b3d20366c6deabdeed4&sv=10004&ct=android
CCTV-9 纪录,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv9hd/51/index.m3u8?msisdn=f319259502891f53d7667372fbc593e2&mdspid=&spid=699004&netType=0&sid=5501083624&pid=2028597139&timestamp=20260816040007&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=673168140&ParentNodeID=-99&assertID=5501083624&client_ip=47.108.72.45&SecurityKey=20260816040007&promotionId=&mvid=5102910384&mcid=500020&playurlVersion=WX-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=5c7d699e7955f2f2044562d7d4c52bdb&ddCalcu=b5dcvb7a2dd56ac949de77d925655f424f02&sv=10004&ct=android
